0.42,-0.884
0.89,-0.25851
0.4,-1.3421
0.455,-1.7344
0.935,-1.4485
0.04,-2.495
0.295,1.3216
0.44,-2.6702
0.14,0.10975
0.615,0.21583
0.405,-1.2102
0.84,0.095448
0.415,-0.55606
0.495,-1.3645
0.97,-0.053832
0.375,-1.3894
0.665,0.15507
0.26,1.6094
0.095,-1.908
0.37,0.68685
0.705,0.47823
0.435,-2.0872
0.92,-0.66155
0.525,-0.81054
0.485,-1.4322
0.62,-0.15999
0.555,0.7137
0.25,0.098821
0.815,-1.1515
0.595,-0.0016026
0.46,-1.7788
0.385,-1.0184
0.29,1.4468
0.245,1.4565
0.33,-0.023417
0.38,-0.36586
0.195,1.3652
0.925,-0.51226
0.7,0.79733
0.235,3.1444
0.06,-2.6711
0.55,0.63898
0.21,2.3334
0.695,0.89879
0.17,2.1988
0.15,0.81012
0.18,0.94889
0.955,-0.30353
0.315,0.40222
0.985,-0.90892
0.39,-1.4809
0.185,1.5256
0.785,-0.83156
0.175,1.0984
0.54,-1.3105
0.34,0.6828
0.505,-1.267
0.145,0.44998
0.12,-0.015323
0.28,1.6601
0.45,-1.4188
0.95,-2.6551
0.225,2.6123
0.035,-1.9072
0.2,1.1324
0.475,-1.6695
0.78,0.46832
0.9,-0.97183
0.395,-0.63474
0.81,-1.4193
0.625,0.44444
0.535,-0.37425
0.205,1.2545
0.43,-1.7802
0.565,-0.61774
0.275,1.2668
0.13,-0.10589
0.22,3.0157
0.835,0.89688
0.775,-0.33981
0.165,1.1782
0.56,-0.040825
0.885,-1.628
0.855,-1.0864
0.635,0.039477
0.11,-1.1576
0.845,-0.60762
0.63,1.4661
0.735,0.46794
0.365,-0.78562
1,-0.80974
0.1,-1.4682
0.41,-0.58795
0.645,0.67149
0.68,0.39814
0.285,1.1631
0.585,-0.12936
0.24,2.4826
0.445,-1.3438
0.105,-0.65183
0.77,0.41393
0.51,-1.6062
0.325,-0.41748
0.32,0.063074
0.79,-0.26065
0.01,-2.4452
0.765,0.10815
0.875,0.25883
0.075,-1.2357
0.545,-1.2489
0.795,-0.46891
0.965,0.23801
0.605,0.46877
0.115,-0.25152
0.53,-0.78981
0.125,0.62966
0.83,-0.18126
0.08,-1.7635
0.345,0.63431
0.87,-0.24449
0.065,-1.72
0.215,1.1669
0.335,-0.24175
0.515,-0.99348
0.255,1.5858
0,-2.7439
0.945,-0.9785
0.47,-0.51713
0.5,-1.686
0.085,-0.82792
0.155,0.75096
0.69,1.1088
0.09,-0.72565
0.905,-1.7577
0.57,0.087486
0.49,-1.2719
0.575,0.98036
0.88,-1.7133
0.675,1.5926
0.465,-2.6977
0.02,-4.0445
0.98,0.11818
0.025,-2.8583
0.8,0.5608
0.23,1.6635
0.86,-0.48313
0.36,-1.2025
0.76,-0.36042
0.425,-1.4422
0.72,0.91088
0.03,-2.88
0.005,-3.9826
0.6,0.77177
0.865,-0.73138
0.07,-1.6677
0.3,1.2066
0.135,0.10893
0.19,2.0791
0.27,0.98767
0.045,-2.5274
0.65,0.47322
0.995,-0.93452
0.31,-0.53275
0.91,-0.62567
0.755,0.69777
0.66,1.5118
0.99,-0.06001
0.71,1.8052
0.94,-0.68049
0.96,-0.70307
0.93,-1.3682
0.48,-1.5011
0.305,-0.10627
0.58,-0.4665
0.265,1.7954
0.975,-1.0148
0.59,0.81502
0.16,0.82863
0.715,1.3157
0.055,-2.5252
0.64,0.15932
0.685,0.37102
0.725,0.44605
0.85,-0.35409
0.74,0.72391
0.61,0.6621
0.82,-0.0098606
0.915,-1.0042
0.745,2.2831
0.895,-0.38679
0.05,-2.3653
0.805,-0.25021
0.655,1.1838
0.73,1.015
0.35,0.24106
0.825,0.23972
0.67,0.37426
0.75,-0.12775
0.015,-3.6088
0.52,-1.6278
0.355,-0.64825
