4.6,0.9,-1.0251
1.2,0.9,0.2198
1.9,-4.9,13.715
1.9,-3.4,6.704
5,-0.5,-1.3803
-1.4,1.3,1.7131
3.6,0.8,-0.71353
4.5,-0.8,-1.077
-3.5,4.2,12.161
3.3,-0.8,-0.95045
-4.8,4.6,14.952
-2.7,-2.8,6.156
0.9,3.3,6.4491
0.9,0,0.27854
3.1,-4,8.7558
2.5,-4.2,9.9789
-3.2,0.3,1.3562
-1.5,1,1.3897
1,4.4,11.407
-3.5,-1.2,2.9147
-4.3,-2,4.5103
-0.6,-2,3.0538
-2.7,-2.3,4.5491
-2.2,3.7,9.769
0.4,-2,2.7107
-2,-4.7,14.107
-2,-4.5,13.017
2.8,-0.9,-0.38657
-2.3,0.6,1.3506
1.1,-1.8,1.7155
-4.9,-0.3,2.2388
0.8,1.4,0.92489
-2.8,-4.2,12.173
-3.3,3.7,9.9827
4.4,3,3.8212
-2.3,-3.8,9.989
1.1,-2.4,3.4534
-3,1.8,3.6328
3.7,2.3,2.1129
0.3,0.4,0.083619
-5,1.1,2.9576
-4.7,3.2,8.3959
3.4,3.8,7.2252
-2.6,2.8,5.8579
-1.4,-2.8,5.6958
2.4,4.8,13.394
2.8,1.4,0.43087
-2.3,-4.4,12.896
4,3.1,4.2068
4.9,4.9,12.711
2.8,-3.1,4.8509
4.2,-0.9,-1.0197
-3.7,-2.6,6.1763
-0.6,1.1,1.1047
3.5,-2.3,2.4485
4.5,2.4,1.8726
4.6,-4.8,11.904
-0.7,0.6,0.57277
3.6,-0.9,-0.53375
1.9,4.1,9.5542
-4.2,3.1,7.8925
-1.5,5,16.179
0.5,1,0.76539
3.3,-1.8,1.0285
0,-4.6,12.986
2.4,2.9,4.3391
-1.9,2.8,5.7335
-0.7,-0.2,0.57799
2.9,3.3,5.7694
1.2,-4.6,12.413
-2.2,1.9,3.6143
0.2,-0.5,0.39193
-5,-1.8,4.2861
1.4,-0.4,-0.10205
-2.4,2,3.7352
1.8,5,14.518
-3.8,-3.8,10.619
-2.9,4.4,13.118
1.3,-5,14.971
-3.7,2.5,5.5145
-3.2,-4.5,13.412
2.7,4.6,11.997
4.9,0.9,-0.86693
-2.6,2.9,6.2841
-4.7,4.8,16.085
3.3,-4.5,10.93
-0.2,-5,15.569
2.2,-1.3,0.13853
-2.9,2.2,4.3006
0.7,-3.7,8.2028
-2.3,1.6,2.9442
-1.8,0.6,1.0848
-1.2,-4.9,15.134
0.3,3.9,9.3634
4.8,3.1,4.1747
-0.7,-5,15.634
2,-3.3,6.162
3.1,2.5,3.1087
-4,0.6,2.0879
1.3,-2.6,3.8013
-0.4,-4.1,10.848
-1.2,1.3,1.5935
0.9,3.5,7.4193
3.3,-0.1,-0.54784
2.1,0.4,-0.38805
-0.8,4.6,13.464
-4.1,-0.9,2.5437
-2.8,-3.7,9.5915
1.8,0.3,-0.27715
